"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"D'Andre Swift","CHI","RB21","237.0","961.3","6.1","36.8","284.1","1.2","1.1","166.5"
"Mike Evans","TB","WR12","0.0","0.0","0.0","79.7","1,071.6","9.9","0.5","165.8"
"Ladd McConkey","LAC","WR13","0.0","1.4","0.0","90.5","1,209.5","7.4","0.7","163.9"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","86.6","1,099.8","8.9","0.9","161.7"
"TreVeyon Henderson","NE","RB22","210.6","925.2","5.9","33.7","262.9","1.5","1.7","160.1"
"Tony Pollard","TEN","RB23","233.3","979.8","5.5","40.0","257.5","0.9","1.0","160.0"
"Davante Adams","LAR","WR15","0.3","0.0","0.0","85.2","1,100.3","8.3","0.5","159.1"
"Aaron Jones Sr.","MIN","RB24","198.2","886.9","4.4","44.8","328.8","2.3","1.8","157.8"
"DK Metcalf","PIT","WR16","0.0","1.2","0.0","77.8","1,137.9","7.3","1.3","154.9"
"Terry McLaurin","WAS","WR17","1.1","4.8","0.0","81.4","1,084.8","7.8","0.9","154.2"
"Marvin Harrison Jr.","ARI","WR18","0.0","3.2","0.0","78.9","1,090.4","7.6","1.0","153.1"
"Jaxon Smith-Njigba","SEA","WR19","2.7","20.7","0.0","93.7","1,102.6","6.6","0.6","150.8"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","106.1","1,129.2","6.1","0.5","149.4"
"Xavier Worthy","KC","WR20","15.4","84.4","1.5","72.0","894.9","7.2","0.5","149.0"
"George Kittle","SF","TE2","0.0","0.0","0.0","76.1","1,030.5","7.5","0.5","146.8"
"Zay Flowers","BAL","WR21","8.2","48.4","0.1","75.9","1,034.3","6.3","0.5","145.8"
"Isiah Pacheco","KC","RB25","203.0","836.0","5.7","33.3","228.2","1.1","1.0","145.0"
"RJ Harvey","DEN","RB26","182.5","791.8","5.4","33.6","257.2","1.6","1.3","144.5"
"Courtland Sutton","DEN","WR22","0.0","0.2","0.0","76.7","1,017.7","7.4","0.9","144.4"
"DJ Moore","CHI","WR23","9.5","53.8","0.1","87.1","1,013.6","6.3","0.9","143.7"
"Jameson Williams","DET","WR24","7.4","63.4","0.8","60.8","963.7","6.1","0.5","143.2"
"Garrett Wilson","NYJ","WR25","1.9","13.5","0.0","90.5","1,083.5","6.0","1.3","143.0"
"Kaleb Johnson","PIT","RB27","196.7","828.7","6.4","23.2","178.0","1.0","1.7","141.8"
"Calvin Ridley","TEN","WR26","5.6","33.4","0.3","70.1","1,025.1","6.0","0.9","141.7"
"Tyrone Tracy Jr.","NYG","RB28","189.4","807.0","5.0","35.4","260.9","1.1","1.6","139.8"
"Trey McBride","ARI","TE3","0.0","1.5","0.0","104.4","1,053.5","5.8","0.5","139.5"
"Joe Mixon","HOU","RB29","178.2","716.3","6.4","30.4","233.1","1.3","0.9","139.5"
"George Pickens","DAL","WR27","1.0","6.2","0.0","69.2","1,012.6","6.4","0.9","138.7"
"DeVonta Smith","PHI","WR28","0.3","1.2","0.0","81.2","976.9","6.8","0.5","137.6"
"Jerry Jeudy","CLE","WR29","0.3","4.8","0.0","81.3","1,096.8","4.1","0.6","133.9"
"Deebo Samuel Sr.","WAS","WR30","29.2","124.2","1.2","65.2","831.5","5.1","1.0","131.6"
"Tetairoa McMillan","CAR","WR31","0.5","7.4","0.0","73.7","962.1","5.8","1.2","129.2"
"Jaylen Warren","PIT","RB30","149.6","682.5","3.6","47.5","347.2","1.1","1.1","129.0"
"Jakobi Meyers","LV","WR32","1.2","8.9","0.0","82.3","964.5","5.3","0.5","128.3"
"Jaylen Waddle","MIA","WR33","2.5","16.1","0.1","75.5","965.4","4.9","0.5","126.6"
"Quinshon Judkins","CLE","RB31","184.2","754.2","5.0","23.0","173.9","1.0","1.3","126.4"
"Matthew Golden","GB","WR34","0.5","9.4","0.0","64.1","891.4","6.0","0.8","124.3"
"Travis Hunter","JAC","WR35","3.8","21.7","0.1","68.3","890.2","5.2","0.8","121.5"
"Jauan Jennings","SF","WR36","2.4","10.8","0.1","67.4","887.7","5.2","0.6","120.3"
"Rome Odunze","CHI","WR37","1.3","8.0","0.0","65.9","885.7","5.4","0.9","119.8"
"Austin Ekeler","WAS","RB32","101.9","464.0","4.4","47.2","386.9","1.8","1.3","119.5"
"Keon Coleman","BUF","WR38","0.3","3.8","0.0","52.4","824.6","6.1","0.5","118.5"
"Chris Olave","NO","WR39","0.3","2.8","0.0","76.5","944.6","4.4","1.3","118.4"
"Jayden Reed","GB","WR40","11.8","93.5","0.7","55.3","741.2","5.3","0.9","118.0"
"Jordan Mason","MIN","RB33","163.6","753.5","4.6","16.9","123.5","0.7","0.7","117.9"
"Ricky Pearsall","SF","WR41","7.0","53.4","0.3","59.9","808.2","5.1","0.6","117.8"
"Rashid Shaheed","NO","WR42","7.7","47.2","0.1","57.6","858.4","4.8","1.3","117.6"
"Rashee Rice","KC","WR43","1.1","4.5","0.0","70.9","831.9","5.8","0.6","117.4"
"Stefon Diggs","NE","WR44","1.3","6.9","0.2","77.5","852.1","5.2","0.5","117.1"
"J.K. Dobbins","DEN","RB34","145.9","648.7","4.7","29.1","187.3","1.2","1.2","116.8"
"Sam LaPorta","DET","TE4","0.0","0.0","0.0","68.3","765.8","6.8","0.4","116.5"
"Travis Etienne Jr.","JAC","RB35","147.5","597.0","3.9","38.4","284.9","1.2","0.9","116.5"
"Jordan Addison","MIN","WR45","0.9","8.9","0.2","60.6","785.5","6.0","0.4","115.9"
"Mark Andrews","BAL","TE5","0.0","2.0","0.0","58.8","701.7","7.7","0.8","114.7"
"Rhamondre Stevenson","NE","RB36","154.2","630.2","4.9","27.9","177.5","1.1","1.5","113.8"
"Jacory Croskey-Merritt","WAS","RB37","141.5","613.7","5.3","18.6","149.8","1.1","0.8","112.8"
"Michael Pittman Jr.","IND","WR46","0.3","2.0","0.0","78.4","887.8","4.2","0.9","112.5"
"Javonte Williams","DAL","RB38","167.8","623.0","4.2","32.8","208.2","0.9","0.6","112.5"
"Cooper Kupp","SEA","WR47","1.3","9.0","0.0","72.5","805.3","5.3","0.6","112.4"
"Chris Godwin Jr.","TB","WR48","1.2","7.9","0.0","68.4","790.9","5.4","0.6","111.1"
"Emeka Egbuka","TB","WR49","1.6","11.5","0.0","61.6","780.8","5.5","1.1","110.4"
"Khalil Shakir","BUF","WR50","0.3","3.0","0.0","71.9","814.0","4.9","0.6","110.0"
"Zach Charbonnet","SEA","RB39","129.0","544.4","4.5","32.9","241.8","0.9","0.8","109.6"
"Darnell Mooney","ATL","WR51","0.0","1.5","0.0","58.6","830.9","4.5","0.4","109.4"
"Travis Kelce","KC","TE6","0.0","0.5","0.0","81.0","773.6","5.2","0.9","107.1"
"Marvin Mims Jr.","DEN","WR52","11.9","49.4","0.1","52.9","699.2","5.4","0.6","106.8"
"T.J. Hockenson","MIN","TE7","0.0","0.0","0.0","74.1","775.7","4.7","0.5","104.6"
"Tank Bigsby","JAC","RB40","160.7","654.4","5.2","12.0","87.0","0.2","1.2","104.1"
"Josh Downs","IND","WR53","0.3","5.8","0.0","69.2","770.1","4.5","0.5","103.7"
"Rashod Bateman","BAL","WR54","0.0","0.6","0.0","45.6","686.3","5.6","0.1","101.8"
"David Njoku","CLE","TE8","0.0","0.0","0.0","76.8","738.6","4.9","0.8","101.7"
"Tyjae Spears","TEN","RB41","117.2","473.8","3.5","33.4","250.4","1.0","0.9","97.8"
"Rachaad White","TB","RB42","107.3","439.5","2.7","36.4","275.6","2.1","1.3","97.8"
"Najee Harris","LAC","RB43","129.9","531.6","4.4","20.8","150.3","0.8","0.8","97.7"
"Tyler Warren","IND","TE9","0.0","10.5","0.0","63.2","681.8","4.7","1.1","95.3"
"Marquise Brown","KC","WR55","0.3","2.0","0.0","55.2","681.2","4.5","0.2","94.9"
"Cam Skattebo","NYG","RB44","120.4","526.6","3.4","24.2","185.8","0.9","1.2","94.7"
"Jerome Ford","CLE","RB45","122.3","514.1","2.9","28.6","196.7","1.0","0.8","92.8"
"Tucker Kraft","GB","TE10","0.0","0.0","0.0","55.2","652.7","4.8","0.8","92.5"
"Cedric Tillman","CLE","WR56","0.7","0.8","0.0","56.1","703.7","4.0","0.9","92.4"
"Keenan Allen","LAC","WR57","0.3","2.0","0.0","55.6","640.5","4.8","0.6","91.8"
"Adam Thielen","CAR","WR58","0.0","1.8","0.0","61.5","656.2","4.4","0.5","90.9"
"Trey Benson","ARI","RB46","127.3","567.7","3.7","13.7","105.2","0.4","0.9","90.5"
"Jayden Higgins","HOU","WR59","0.7","4.0","0.0","50.6","671.8","3.8","0.4","89.6"
"Kyle Pitts Sr.","ATL","TE11","0.0","0.0","0.0","50.9","641.7","4.2","0.1","89.2"
"Nick Chubb","HOU","RB47","127.9","522.5","4.6","10.6","80.0","0.4","0.5","89.2"
"Christian Kirk","HOU","WR60","0.7","4.0","0.0","53.0","684.3","3.7","0.8","89.1"
"Xavier Legette","CAR","WR61","6.2","28.9","0.1","54.5","617.0","3.8","0.5","86.9"
"Dallas Goedert","PHI","TE12","0.0","0.0","0.0","57.1","632.8","3.9","0.5","85.8"
"Evan Engram","DEN","TE13","0.0","0.0","0.0","69.9","625.3","4.2","0.9","85.7"
"Jaylen Wright","MIA","RB48","132.3","541.4","3.4","14.1","98.2","0.6","1.5","84.8"
"Tyler Allgeier","ATL","RB49","119.8","549.3","3.3","12.6","92.5","0.3","0.8","84.3"
"Zach Ertz","WAS","TE14","0.0","0.0","0.0","57.9","538.0","5.1","0.1","84.0"
"Jaydon Blue","DAL","RB50","108.6","475.2","2.9","20.4","158.5","0.8","0.8","84.0"
"Dalton Kincaid","BUF","TE15","0.0","0.0","0.0","57.1","604.2","4.0","0.5","83.7"
"Dylan Sampson","CLE","RB51","119.0","474.7","2.4","22.8","178.3","0.9","0.8","83.5"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","67.9","622.9","3.8","1.2","82.7"
"Ray Davis","BUF","RB52","109.2","467.4","3.5","12.4","105.6","1.0","0.8","82.6"
"Romeo Doubs","GB","WR62","0.0","0.5","0.0","45.2","575.0","4.3","0.5","82.2"
"Wan'Dale Robinson","NYG","WR63","2.0","15.6","0.0","69.4","625.0","3.1","0.5","81.9"
"Brandon Aiyuk","SF","WR64","1.1","4.8","0.0","40.0","611.9","3.2","0.5","80.3"
"DeMario Douglas","NE","WR65","2.1","15.9","0.0","56.5","597.7","3.2","0.2","80.1"
"Joshua Palmer","BUF","WR66","0.0","0.5","0.0","42.0","589.0","3.5","0.1","79.9"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","54.9","574.3","3.9","0.4","79.8"
"Tyler Lockett","TEN","WR67","0.0","0.0","0.0","49.6","577.4","3.5","0.1","78.4"
"Luther Burden III","CHI","WR68","3.6","27.2","0.4","45.9","558.5","3.3","1.1","78.1"
"Colston Loveland","CHI","TE18","0.0","0.0","0.0","53.6","562.5","3.8","0.8","77.4"
"Isaiah Likely","BAL","TE19","0.0","0.0","0.0","41.4","491.4","4.8","0.7","76.7"
"Braelon Allen","NYJ","RB53","111.5","425.3","3.0","16.4","122.0","0.8","0.4","76.5"
"Michael Wilson","ARI","WR69","1.9","8.9","0.1","43.8","525.2","3.9","0.5","76.4"
"Cade Otton","TB","TE20","0.0","0.0","0.0","52.0","530.1","4.0","0.5","76.2"
"Alec Pierce","IND","WR70","0.0","0.0","0.0","31.3","539.3","3.5","0.1","74.6"
"Tre' Harris","LAC","WR71","0.7","3.8","0.0","40.8","544.3","3.4","0.7","73.9"
"Brenton Strange","JAC","TE21","0.0","0.0","0.0","55.2","550.4","3.3","0.5","73.8"
"Calvin Austin III","PIT","WR72","2.3","11.8","0.1","39.6","529.0","3.4","0.5","73.7"
"Brian Robinson Jr.","SF","RB54","104.7","413.2","3.7","11.1","89.5","0.6","1.2","73.5"
"Darren Waller","MIA","TE22","0.0","0.0","0.0","49.5","545.7","3.2","0.1","73.3"
"Jonnu Smith","PIT","TE23","0.0","1.5","0.0","50.4","522.8","3.8","0.9","73.3"
"Rico Dowdle","CAR","RB55","85.2","390.2","2.2","22.2","151.7","1.1","0.8","72.2"
"Roschon Johnson","CHI","RB56","86.2","316.8","4.5","15.8","105.2","0.5","0.1","71.5"
"Bhayshul Tuten","JAC","RB57","89.2","389.2","2.5","17.3","136.9","0.8","0.8","71.0"
"Quentin Johnston","LAC","WR73","1.7","7.2","0.0","34.9","458.0","4.1","0.4","70.7"
"Mike Gesicki","CIN","TE24","0.0","0.0","0.0","51.0","502.8","3.4","0.4","69.9"
"MarShawn Lloyd","GB","RB58","105.6","381.3","2.9","13.5","108.4","0.7","0.8","69.2"
"Darius Slayton","NYG","WR74","1.4","6.4","0.0","35.6","534.0","2.5","0.2","68.9"
"Dalton Schultz","HOU","TE25","0.0","0.0","0.0","49.7","509.2","3.1","0.4","68.9"
"Chig Okonkwo","TEN","TE26","0.0","3.0","0.0","52.8","527.9","2.9","0.8","68.8"
"Kareem Hunt","KC","RB59","81.2","310.5","3.3","19.4","134.3","0.8","0.1","68.7"
"Ray-Ray McCloud III","ATL","WR75","7.5","52.8","0.2","44.4","486.5","2.6","1.2","67.9"
"Jack Bech","LV","WR76","1.0","4.3","0.0","41.7","518.6","2.8","0.7","67.6"
"Juwan Johnson","NO","TE27","0.0","0.0","0.0","47.5","486.5","3.2","0.2","67.4"
"Dyami Brown","JAC","WR77","0.7","6.8","0.0","39.2","504.5","2.8","0.5","67.0"
"Pat Freiermuth","PIT","TE28","0.0","0.0","0.0","49.9","480.5","3.3","0.9","66.2"
"Josh Reynolds","NYJ","WR78","0.0","0.0","0.0","36.5","479.3","3.0","0.1","65.5"
"Tutu Atwell","LAR","WR79","4.3","20.2","0.1","39.1","497.2","2.2","0.1","65.2"
"Nick Westbrook-Ikhine","MIA","WR80","0.0","1.3","0.0","31.4","427.5","3.7","0.1","64.7"
"DeAndre Hopkins","BAL","WR81","0.0","0.5","0.0","32.0","412.6","3.9","0.1","64.6"
"Miles Sanders","DAL","RB60","93.4","403.1","2.3","12.0","77.2","0.6","0.5","64.4"
"Tyler Higbee","LAR","TE29","0.0","0.0","0.0","45.3","424.9","3.7","0.1","64.3"
"Mason Taylor","NYJ","TE30","0.0","0.0","0.0","48.1","485.0","2.7","0.8","63.3"
"Theo Johnson","NYG","TE31","0.0","0.0","0.0","43.1","472.1","2.7","0.1","63.2"
"Kyle Williams","NE","WR82","2.1","13.3","0.0","35.5","454.5","2.7","0.4","62.1"
"Woody Marks","HOU","RB61","73.8","271.4","1.8","23.9","173.6","1.1","0.1","61.6"
"Jalen Tolbert","DAL","WR83","0.0","0.0","0.0","34.6","404.1","3.5","0.1","61.4"
"Kendre Miller","NO","RB62","91.4","353.5","3.1","9.7","72.3","0.2","0.4","61.4"
"Andrei Iosivas","CIN","WR84","0.0","0.0","0.0","31.4","380.6","3.7","0.1","59.8"
"Isaac Guerendo","SF","RB63","79.0","346.4","2.9","9.1","79.8","0.1","0.6","59.4"
"Raheem Mostert","LV","RB64","77.2","289.8","2.6","17.6","129.3","0.5","0.8","59.4"
"Jalen Nailor","MIN","WR85","1.8","4.1","0.0","29.2","382.1","3.5","0.4","59.0"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","423.5","2.8","0.4","58.4"
"Tre Tucker","LV","WR86","5.6","31.5","0.3","30.9","397.1","2.2","0.1","58.1"
"Brandin Cooks","NO","WR87","1.7","3.8","0.0","35.4","402.9","2.7","0.1","56.7"
"Justice Hill","BAL","RB65","41.8","184.9","1.1","27.3","221.9","1.7","0.4","56.6"
"Jordan Whittington","LAR","WR88","1.1","13.9","0.0","34.1","397.7","2.4","0.1","55.6"
"Diontae Johnson","CLE","WR89","0.0","2.3","0.0","34.9","429.1","2.2","0.6","55.4"
"Marquez Valdes-Scantling","SEA","WR90","2.7","10.4","0.1","23.9","394.1","2.3","0.0","54.8"
"Troy Franklin","DEN","WR91","1.1","6.1","0.0","29.9","372.7","2.8","0.1","54.6"
"Tory Horton","SEA","WR92","1.0","8.7","0.0","33.4","424.9","2.1","0.7","54.3"
"Blake Corum","LAR","RB66","84.2","312.3","2.1","12.0","87.4","0.3","0.4","54.0"
"Keaton Mitchell","BAL","RB67","66.0","322.3","1.7","9.1","85.5","0.5","0.0","54.0"
"Jalen Coker","CAR","WR93","0.0","2.3","0.0","31.8","416.6","2.0","0.1","53.8"
"Will Dissly","LAC","TE33","0.0","0.0","0.0","38.6","378.0","2.5","0.1","53.0"
"Dontayvion Wicks","GB","WR94","0.0","1.3","0.0","27.4","346.2","3.0","0.0","52.8"
"Noah Fant","CIN","TE34","0.0","0.0","0.0","37.2","381.0","2.4","0.1","52.6"
"Kayshon Boutte","NE","WR95","0.0","0.0","0.0","28.3","379.7","2.4","0.1","52.1"
"Noah Brown","WAS","WR96","0.0","0.0","0.0","31.8","406.8","1.9","0.1","51.9"
"Christian Watson","GB","WR97","4.3","17.0","0.0","19.9","366.6","2.3","0.4","51.6"
"Ollie Gordon II","MIA","RB68","72.2","297.8","2.5","8.6","66.8","0.4","1.1","51.4"
"Ty Johnson","BUF","RB69","44.9","205.3","0.9","15.2","165.4","1.4","0.1","51.3"
"Ja'Tavion Sanders","CAR","TE35","0.0","0.0","0.0","38.5","389.3","2.1","0.1","51.1"
"Adonai Mitchell","IND","WR98","2.9","9.5","0.1","28.4","372.7","2.2","0.4","50.7"
"Pat Bryant","DEN","WR99","0.0","0.0","0.0","29.1","351.4","2.6","0.1","50.5"
"Dont'e Thornton Jr.","LV","WR100","0.0","2.0","0.0","28.0","369.3","2.1","0.1","49.8"
"Kyle Monangai","CHI","RB70","52.1","283.2","2.5","6.1","42.9","0.1","0.1","47.6"
"Elic Ayomanor","TEN","WR101","0.0","7.5","0.0","28.6","336.3","2.2","0.1","47.4"
"Noah Gray","KC","TE36","0.0","0.5","0.0","29.6","301.4","2.7","0.0","46.3"
"K.J. Osborn","WAS","WR102","0.0","0.0","0.0","28.4","313.5","2.5","0.0","46.2"
"Tyler Conklin","LAC","TE37","0.0","0.0","0.0","33.7","325.8","2.3","0.0","46.2"
"Curtis Samuel","BUF","WR103","6.6","29.3","0.1","27.0","272.4","2.5","0.1","45.5"
"Allen Lazard","NYJ","WR104","0.0","0.0","0.0","24.6","318.8","2.2","0.1","45.2"
"AJ Barner","SEA","TE38","0.0","0.0","0.0","32.7","305.0","2.4","0.1","44.8"
"Jaylin Noel","HOU","WR105","0.0","13.0","0.0","25.5","304.3","2.2","0.1","44.7"
"Chris Rodriguez Jr.","WAS","RB71","56.9","274.1","2.5","3.3","26.3","0.0","0.3","44.6"
"Samaje Perine","CIN","RB72","41.2","165.5","1.3","17.5","152.9","0.9","0.4","44.2"
"Jarquez Hunter","LAR","RB73","57.1","244.7","1.9","8.5","68.7","0.4","0.7","43.8"
"Tahj Brooks","CIN","RB74","48.8","233.9","1.9","10.0","78.5","0.5","0.7","43.7"
"Anthony Miller","BAL","WR106","0.0","0.0","0.0","25.4","277.9","2.6","0.0","43.3"
"Greg Dortch","ARI","WR107","4.8","30.6","0.1","28.0","278.7","2.1","0.4","43.2"
"Antonio Gibson","NE","RB75","51.4","210.1","1.0","15.7","127.7","0.5","0.0","42.6"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","30.2","291.0","2.3","0.4","41.9"
"Van Jefferson","TEN","WR108","0.0","0.0","0.0","23.5","300.4","1.9","0.1","41.0"
"Elijah Mitchell","KC","RB76","60.5","228.8","1.8","8.2","47.6","0.4","0.1","40.9"
"Roman Wilson","PIT","WR109","0.0","0.0","0.0","22.9","290.3","2.0","0.1","40.7"
"Malik Washington","MIA","WR110","2.0","13.8","0.1","27.5","288.9","1.8","0.6","40.4"
"Kenneth Gainwell","PIT","RB77","58.5","210.6","1.4","12.5","88.5","0.4","0.4","39.8"
"Devin Singletary","NYG","RB78","52.1","236.2","1.5","9.4","63.5","0.1","0.4","39.2"
"Austin Hooper","NE","TE40","0.0","0.0","0.0","28.7","286.6","1.8","0.4","38.7"
"Trevor Etienne","CAR","RB79","47.8","191.3","1.5","10.7","86.5","0.4","0.4","38.3"
"Devaughn Vele","NO","WR111","0.0","1.7","0.0","25.1","268.2","1.9","0.1","37.9"
"Tim Patrick","DET","WR112","0.0","0.0","0.0","20.5","256.5","2.0","0.1","37.4"
"Jalen McMillan","TB","WR113","1.4","11.0","0.0","18.1","227.2","2.3","0.4","36.8"
"Khalil Herbert","IND","RB80","60.4","215.4","1.6","7.7","43.8","0.2","0.0","36.5"
"KaVontae Turpin","DAL","WR114","8.4","58.5","0.5","17.0","206.0","1.4","0.7","36.5"
"Parker Washington","JAC","WR115","0.0","8.5","0.0","24.7","261.7","1.6","0.1","36.3"
"Will Shipley","PHI","RB81","37.4","199.4","1.3","8.3","61.8","0.4","0.1","36.2"
"Sean Tucker","TB","RB82","44.8","231.3","1.4","5.2","40.2","0.3","0.7","36.1"
"Foster Moreau","NO","TE41","0.0","0.0","0.0","22.3","251.2","1.8","0.1","36.0"
"JuJu Smith-Schuster","KC","WR116","0.0","0.0","0.0","23.1","255.6","1.8","0.1","36.0"
"Devin Neal","NO","RB83","38.8","203.8","1.3","7.3","54.2","0.4","0.1","35.8"
"Tai Felton","MIN","WR117","0.0","3.7","0.0","20.1","241.8","1.9","0.0","35.7"
"Dawson Knox","BUF","TE42","0.0","0.0","0.0","21.9","238.7","1.9","0.0","35.3"
"Chimere Dike","TEN","WR118","2.1","8.9","0.0","18.9","246.0","1.6","0.1","35.1"
"Michael Mayer","LV","TE43","0.0","0.0","0.0","27.3","253.0","1.6","0.1","34.6"
"Jaleel McLaughlin","DEN","RB84","30.5","142.6","0.8","18.2","110.4","0.9","0.5","34.3"
"Harold Fannin Jr.","CLE","TE44","0.0","0.0","0.0","26.5","260.8","1.5","0.4","34.2"
"Terrance Ferguson","LAR","TE45","0.0","0.0","0.0","23.0","235.2","1.9","0.4","34.1"
"Tyler Johnson","NYJ","WR119","0.0","0.0","0.0","22.0","233.7","1.7","0.0","33.6"
"Zamir White","LV","RB85","56.2","190.4","1.1","8.7","61.4","0.3","0.0","33.5"
"Demarcus Robinson","SF","WR120","0.0","0.8","0.0","13.9","217.8","1.9","0.0","33.3"
"Robbie Ouzts","SEA","TE46","0.0","0.0","0.0","25.0","245.9","1.5","0.5","32.8"
"A.J. Dillon","PHI","RB86","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Jermaine Burton","CIN","WR121","0.0","2.0","0.0","15.8","205.9","2.0","0.1","32.3"
"Emanuel Wilson","GB","RB87","33.5","175.2","1.2","7.4","53.9","0.4","0.3","31.9"
"DJ Giddens","IND","RB88","23.6","163.2","1.3","7.6","56.4","0.1","0.0","30.3"
"Josh Oliver","MIN","TE47","0.0","0.0","0.0","19.4","203.0","1.6","0.1","30.0"
"Luke McCaffrey","WAS","WR122","0.0","1.0","0.0","19.3","201.5","1.5","0.1","28.8"
"Oronde Gadsden II","LAC","TE48","0.0","0.0","0.0","19.1","195.2","1.6","0.1","28.8"
"Tommy Tremble","CAR","TE49","0.0","0.0","0.0","19.2","184.1","1.7","0.4","27.7"
"Luke Musgrave","GB","TE50","0.0","0.0","0.0","19.1","186.3","1.4","0.0","27.1"
"A.T. Perry","DEN","WR123","0.0","0.0","0.0","13.7","180.5","1.5","0.0","26.9"
"Skyy Moore","SF","WR124","0.0","0.0","0.0","15.4","184.9","1.4","0.0","26.7"
"Brock Wright","DET","TE51","0.0","0.0","0.0","15.0","134.8","2.2","0.0","26.4"
"Kendrick Bourne","NE","WR125","1.1","6.8","0.0","16.9","195.1","1.0","0.0","26.2"
"Gunnar Helm","TEN","TE52","0.0","0.0","0.0","20.2","200.8","1.1","0.4","26.1"
"Zay Jones","ARI","WR126","0.0","2.0","0.0","16.8","179.9","1.3","0.1","25.7"
"Jahan Dotson","PHI","WR127","0.0","1.7","0.0","14.6","176.4","1.3","0.0","25.5"
"Audric Estime","DEN","RB89","45.5","149.1","0.9","5.8","40.1","0.2","0.4","25.1"
"Amar Johnson","GB","RB90","35.0","164.0","1.0","2.0","26.0","0.0","0.0","25.0"
"Ben Sinnott","WAS","TE53","0.0","0.0","0.0","16.9","167.0","1.4","0.1","25.0"
"Robert Woods","PIT","WR128","0.0","0.0","0.0","17.4","180.7","1.2","0.1","25.0"
"Kalif Raymond","DET","WR129","0.0","4.0","0.0","14.7","184.2","1.2","0.6","24.7"
