"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","492.3","333.4","3816.9","27.4","11.2","118.1","585.5","11.8","4.1","372.3"
"Lamar Jackson","BAL","448.9","291.9","3652.6","28.3","9.6","118.4","639.6","3.2","4.2","324.8"
"Drake Maye","NE","499.9","343.0","4026.4","28.0","10.4","99.3","492.9","3.7","5.6","322.8"
"Jayden Daniels","WAS","493.1","322.1","3681.6","23.8","11.0","130.0","685.6","4.7","2.8","322.6"
"Jalen Hurts","PHI","488.0","317.2","3570.8","24.2","7.4","111.8","461.4","8.4","4.0","320.6"
"Joe Burrow","CIN","590.1","394.8","4170.4","33.3","11.6","48.3","178.7","1.4","1.9","310.7"
"Jaxson Dart","NYG","509.9","324.8","3592.1","22.3","11.1","100.9","549.4","6.5","2.9","310.3"
"Brock Purdy","SF","547.6","369.3","4153.6","27.7","14.3","70.5","304.1","3.8","4.3","307.4"
"Dak Prescott","DAL","582.0","384.3","4294.0","30.9","11.3","49.1","173.3","1.7","2.8","306.2"
"Trevor Lawrence","JAC","546.1","336.0","3909.4","26.9","13.0","72.5","321.8","4.9","3.4","306.0"
"Patrick Mahomes II","KC","554.7","353.7","3834.5","27.4","11.6","60.4","359.1","3.4","2.0","303.7"
"Caleb Williams","CHI","548.4","329.5","3875.6","27.8","9.3","79.0","399.7","2.1","3.0","303.3"
"Justin Herbert","LAC","529.6","349.4","3857.6","26.2","11.7","78.4","450.3","2.1","2.8","299.4"
"Bo Nix","DEN","555.6","355.3","3744.4","26.8","11.0","79.1","341.2","3.6","2.0","297.8"
"Matthew Stafford","LAR","546.9","352.7","4190.3","34.0","8.6","23.7","33.1","0.2","2.8","293.9"
"Jared Goff","DET","547.0","373.5","4307.1","31.7","10.0","23.7","48.2","0.2","3.7","287.8"
"Tyler Shough","NO","555.7","365.8","3980.7","22.1","11.7","78.2","329.2","4.1","3.6","286.3"
"Baker Mayfield","TB","540.8","348.9","3839.6","25.9","12.9","57.7","362.2","1.5","3.7","282.0"
"Kyler Murray","MIN","497.7","329.9","3498.7","23.5","14.0","79.6","475.9","3.4","3.8","280.3"
"Daniel Jones","IND","512.5","336.9","3758.3","23.5","11.4","66.0","250.8","4.0","3.8","274.4"
"Malik Willis","MIA","493.4","317.8","3370.4","18.0","12.5","124.9","642.1","4.1","6.1","271.1"
"Jordan Love","GB","511.0","331.7","3847.9","26.7","10.2","46.5","195.0","0.6","3.0","267.9"
"Sam Darnold","SEA","506.9","337.0","4092.1","27.3","13.1","44.0","131.9","0.6","5.3","266.3"
"C.J. Stroud","HOU","550.7","347.4","3877.3","23.5","11.4","54.0","238.6","1.0","3.5","260.6"
"Bryce Young","CAR","520.5","331.0","3420.9","22.8","12.0","57.9","258.5","3.0","3.0","254.1"
"Geno Smith","NYJ","520.9","340.7","3459.4","22.1","14.8","57.3","210.0","1.0","2.2","234.7"
"Jacoby Brissett","ARI","541.5","347.7","3593.0","19.7","10.4","48.7","214.1","1.4","4.8","232.4"
"Cam Ward","TEN","564.0","345.0","3586.2","19.8","10.4","44.2","185.1","2.0","5.4","232.1"
"Aaron Rodgers","PIT","527.1","339.2","3483.2","21.7","9.4","26.0","82.5","0.6","2.7","223.2"
"Fernando Mendoza","LV","430.9","275.8","2890.5","16.1","12.2","50.4","227.1","1.3","2.7","192.8"
"Tua Tagovailoa","ATL","379.2","248.7","2724.3","15.8","8.3","19.6","46.6","0.1","2.3","164.5"
"Deshaun Watson","CLE","306.8","189.2","2025.1","10.5","7.3","44.7","197.4","1.3","3.3","136.5"
"Shedeur Sanders","CLE","238.0","143.6","1581.8","8.7","6.5","24.4","143.4","0.9","1.2","108.8"
"Michael Penix Jr.","ATL","188.7","119.1","1350.4","7.2","3.7","13.5","47.0","0.3","1.0","83.6"
"Kirk Cousins","LV","113.7","74.1","784.6","5.1","3.9","5.2","9.0","0.1","0.9","47.3"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Carson Beck","ARI","49.1","30.9","337.8","2.2","1.2","5.2","20.1","0.1","0.2","23.1"
"J.J. McCarthy","MIN","48.6","30.2","340.6","1.8","1.4","5.9","27.0","0.2","0.4","22.5"
"Marcus Mariota","WAS","34.3","21.7","254.1","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"Davis Mills","HOU","27.2","16.7","182.5","1.3","0.5","2.7","9.0","0.0","0.1","12.7"
"Riley Leonard","IND","27.2","17.2","193.0","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"Shane Buechele","BUF","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"Justin Fields","KC","26.2","16.3","175.1","1.0","0.8","3.6","18.4","0.1","0.1","12.0"
"Jameis Winston","NYG","26.1","15.5","194.8","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Quinn Ewers","MIA","24.5","16.0","167.6","1.2","0.9","3.0","11.7","0.0","0.1","11.5"
"Tyson Bagent","CHI","23.0","15.1","170.0","1.0","0.2","2.8","8.6","0.0","0.1","11.5"
"Will Levis","TEN","23.0","14.0","137.0","1.0","0.0","4.0","19.0","0.0","0.0","11.4"
"Jarrett Stidham","DEN","23.1","14.4","152.7","1.1","0.3","3.3","12.9","0.0","0.1","11.3"
"Jake Browning","TB","22.5","14.3","157.5","1.0","0.9","3.1","15.8","0.0","0.1","11.3"
"Tyrod Taylor","GB","25.0","15.4","173.5","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"Joshua Dobbs","DET","21.7","14.8","156.5","1.0","0.3","3.3","7.9","0.1","0.1","10.7"
"Tommy DeVito","NE","22.5","14.6","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"Anthony Richardson Sr.","IND","16.0","10.0","110.0","1.0","0.0","5.0","20.0","0.0","0.0","10.4"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","3.2","12.9","0.0","0.1","10.4"
"Tanner McKee","PHI","20.3","12.8","141.1","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Joe Flacco","CIN","24.8","16.1","169.2","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Kenny Pickett","CAR","22.9","14.4","157.9","1.0","0.8","2.8","10.6","0.0","0.1","10.3"
"Spencer Rattler","NO","23.0","15.0","156.8","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Sam Howell","DAL","22.0","13.9","144.7","1.1","0.7","1.3","7.0","0.1","0.1","10.2"
"Drew Lock","SEA","20.6","13.0","147.2","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Nick Mullens","JAC","19.3","13.2","140.6","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"Gardner Minshew II","ARI","22.9","14.3","147.9","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Behren Morton","NE","15.0","10.0","118.0","1.0","0.0","2.0","9.0","0.0","0.0","9.6"
"Cade Klubnik","NYJ","20.6","13.0","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Drew Allar","PIT","19.5","12.5","130.6","0.9","0.3","1.7","6.8","0.0","0.1","9.3"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"Cole Payton","PHI","14.0","10.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","15.0","0.0","0.0","9.1"
"Kyle Allen","BUF","21.0","12.4","138.3","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.5","0.8","0.4","2.6","4.7","0.0","0.1","9.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"Mason Rudolph","PIT","10.5","6.5","67.5","0.5","0.0","2.0","8.5","0.0","0.0","5.6"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.5","0.0","0.0","5.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
