"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Josh Allen","BUF","522.1","334.3","3,915.2","29.0","10.5","115.7","571.9","10.6","3.4","376.6"
"Lamar Jackson","BAL","480.7","320.0","3,900.2","32.5","8.3","138.5","832.6","4.1","4.5","376.3"
"Jalen Hurts","PHI","461.4","311.6","3,503.3","23.6","8.9","147.4","633.5","12.7","3.9","357.2"
"Jayden Daniels","WAS","535.5","363.9","3,894.9","26.8","10.7","136.7","747.5","5.6","2.5","355.6"
"Joe Burrow","CIN","629.2","435.5","4,647.4","36.4","10.5","48.2","180.3","2.1","3.8","343.7"
"Patrick Mahomes II","KC","605.2","409.3","4,229.7","30.0","12.2","76.3","358.1","2.9","2.5","324.9"
"Baker Mayfield","TB","558.6","386.9","4,192.0","33.0","14.7","64.2","287.8","2.6","3.9","321.4"
"Kyler Murray","ARI","543.5","371.2","3,856.7","23.9","11.2","88.5","538.8","5.1","3.8","315.4"
"Brock Purdy","SF","525.4","351.2","4,283.6","27.1","12.7","65.2","277.1","3.4","2.9","309.5"
"Bo Nix","DEN","560.5","366.5","3,807.6","27.3","12.1","88.4","420.9","3.5","2.0","308.9"
"Justin Fields","NYJ","506.0","314.6","3,293.2","19.7","11.2","128.0","716.6","6.1","3.8","299.6"
"Jared Goff","DET","554.5","383.8","4,396.8","31.2","11.5","32.7","68.9","0.6","2.9","293.8"
"Dak Prescott","DAL","600.6","395.0","4,215.3","27.4","12.0","42.6","175.4","1.9","3.0","289.0"
"J.J. McCarthy","MIN","564.0","367.4","4,038.7","28.3","14.5","55.6","260.5","1.7","3.8","288.9"
"Justin Herbert","LAC","534.7","351.3","3,934.6","25.5","8.4","64.2","272.4","2.6","2.5","288.5"
"Caleb Williams","CHI","562.6","357.3","3,745.1","23.5","10.3","87.4","472.1","2.4","4.5","286.1"
"Jordan Love","GB","511.0","327.9","3,920.4","28.0","12.2","40.3","163.4","1.9","2.5","278.8"
"C.J. Stroud","HOU","556.6","358.1","4,032.9","24.8","10.8","59.1","258.1","1.7","3.7","278.2"
"Trevor Lawrence","JAC","552.8","354.1","3,952.6","22.9","13.2","54.8","251.7","3.0","4.1","271.9"
"Drake Maye","NE","520.1","346.4","3,535.2","21.6","12.9","75.2","475.2","3.0","4.8","270.7"
"Matthew Stafford","LAR","563.9","370.1","4,097.3","26.3","11.0","30.0","71.2","0.5","2.8","263.0"
"Michael Penix Jr.","ATL","542.1","345.2","3,893.2","23.6","13.2","52.1","196.4","2.1","3.2","262.7"
"Tua Tagovailoa","MIA","576.4","400.1","4,121.2","25.9","12.0","26.8","80.4","0.5","3.6","260.5"
"Geno Smith","LV","569.8","382.3","3,970.3","21.8","13.7","54.3","237.1","1.7","2.8","260.5"
"Sam Darnold","SEA","557.0","364.7","3,931.9","23.5","14.5","57.6","201.5","1.8","3.8","259.8"
"Cameron Ward","TEN","520.5","332.0","3,593.3","21.6","13.9","74.3","330.4","2.4","4.1","255.1"
"Bryce Young","CAR","550.5","349.1","3,532.3","20.7","12.2","53.7","297.4","3.1","3.5","253.2"
"Aaron Rodgers","PIT","543.5","348.5","3,750.1","22.9","9.7","22.4","80.6","0.4","2.8","237.0"
"Anthony Richardson Sr.","IND","355.4","197.6","2,314.0","13.6","10.8","98.7","484.3","4.7","3.2","206.5"
"Russell Wilson","NYG","435.2","277.8","2,881.7","15.5","8.3","52.6","214.0","1.9","2.6","196.4"
"Tyler Shough","NO","425.3","265.3","2,778.7","15.6","11.1","46.8","219.2","1.7","3.0","188.5"
"Daniel Jones","IND","194.7","120.5","1,440.1","7.6","5.2","40.9","196.6","1.6","1.9","108.4"
"Joe Flacco","CLE","252.6","161.5","1,853.8","9.4","7.0","6.5","29.9","0.5","1.7","107.6"
"Kenny Pickett","CLE","217.1","133.6","1,117.8","5.2","5.0","16.2","45.0","0.4","0.6","66.4"
"Spencer Rattler","NO","156.6","95.8","1,003.8","4.9","3.9","19.5","108.3","0.4","1.6","65.7"
"Dillon Gabriel","CLE","172.2","107.0","958.9","4.6","3.7","15.9","57.3","0.4","1.4","58.7"
"Jaxson Dart","NYG","120.0","75.3","815.8","4.6","3.4","14.5","67.3","0.7","1.1","56.1"
"Shedeur Sanders","CLE","133.0","80.7","756.4","4.0","3.1","15.8","50.8","0.4","1.0","48.6"
"Jalen Milroe","SEA","14.3","9.0","172.5","1.0","1.0","23.7","113.5","1.0","0.3","26.6"
"Mason Rudolph","PIT","20.4","13.5","151.7","0.9","0.7","18.8","67.6","0.5","0.0","18.7"
"Malik Willis","GB","23.4","14.8","179.9","1.1","0.3","6.1","35.5","0.5","0.0","17.7"
"Jameis Winston","NYG","29.0","18.3","255.3","1.5","1.3","2.3","10.5","0.0","0.0","16.0"
"Kirk Cousins","ATL","12.8","8.3","236.0","1.4","0.8","1.7","7.6","0.3","0.7","15.3"
"Marcus Mariota","WAS","22.6","15.2","172.3","1.1","0.3","4.5","22.3","0.0","0.0","13.1"
"Mac Jones","SF","25.5","16.2","197.0","1.1","0.8","2.4","9.4","0.0","0.0","12.2"
"Joshua Dobbs","NE","24.5","15.8","175.1","1.1","0.8","2.5","15.7","0.0","0.0","12.0"
"Zach Wilson","MIA","22.9","14.8","164.8","1.1","0.4","3.4","12.2","0.0","0.0","11.7"
"Jimmy Garoppolo","LAR","22.9","14.6","173.7","1.1","0.5","1.4","6.1","0.0","0.0","11.3"
"Gardner Minshew II","KC","21.4","14.3","172.8","1.3","0.5","2.4","9.7","0.0","0.7","11.3"
"Jake Browning","CIN","16.1","11.0","150.0","1.1","0.4","1.7","11.2","0.0","0.0","11.2"
"Tyrod Taylor","NYJ","18.8","11.8","146.3","0.7","0.9","4.9","21.0","0.2","0.0","11.1"
"Aidan O'Connell","LV","25.1","16.3","186.4","1.1","0.5","2.0","6.1","0.0","0.3","11.1"
"Jacoby Brissett","ARI","20.8","13.8","164.5","0.8","0.5","2.4","11.4","0.0","0.0","10.4"
"Nick Mullens","JAC","14.0","9.5","144.8","1.1","0.7","2.1","8.7","0.0","0.0","10.2"
"Joe Milton III","DAL","15.9","10.4","138.1","0.8","0.4","2.2","15.7","0.0","0.0","9.7"
"Hendon Hooker","DET","13.7","9.2","141.6","0.7","0.4","2.6","9.4","0.0","0.0","9.2"
"Mitchell Trubisky","BUF","13.1","8.2","132.5","0.7","0.4","2.6","10.5","0.0","0.0","8.9"
"Cooper Rush","BAL","12.1","8.1","134.9","0.8","0.4","3.1","13.4","0.0","0.4","8.7"
"Jarrett Stidham","DEN","13.8","9.2","126.9","0.8","0.4","2.2","9.5","0.0","0.0","8.6"
"Davis Mills","HOU","14.0","8.4","129.0","0.7","0.4","2.1","8.6","0.0","0.0","8.6"
"Drew Lock","SEA","14.3","9.3","132.2","0.7","0.7","2.2","8.5","0.0","0.0","8.4"
"Tanner McKee","PHI","11.1","7.1","124.8","0.7","0.4","3.1","8.0","0.0","0.0","8.4"
"Tyson Bagent","CHI","11.5","7.0","111.7","0.7","0.3","2.5","14.3","0.0","0.0","8.2"
"Andy Dalton","CAR","13.6","9.0","124.8","0.7","0.7","2.1","9.0","0.0","0.0","8.1"
"Brandon Allen","TEN","12.8","8.2","125.4","0.7","0.7","2.1","4.0","0.0","0.0","7.6"
"Sam Howell","MIN","14.5","8.9","105.8","0.6","0.6","2.7","11.9","0.0","0.0","7.4"
"Trey Lance","LAC","10.5","6.5","110.3","0.3","0.3","2.0","18.7","0.0","0.0","7.3"
"Kyle Trask","TB","5.7","3.5","120.2","0.7","0.6","0.3","4.5","0.0","0.0","7.3"
"Taylor Heinicke","LAC","5.6","3.5","116.7","0.6","0.6","0.4","5.0","0.0","0.0","7.1"
"Deshaun Watson","CLE","0.0","0.0","99.0","0.5","0.5","0.0","12.0","0.0","0.0","6.7"
"Case Keenum","CHI","14.4","8.7","91.9","0.6","0.1","1.1","2.4","0.0","0.0","6.3"
"Stetson Bennett IV","LAR","0.0","0.0","96.0","0.5","0.5","0.0","9.0","0.0","0.0","6.2"
"Clayton Tune","ARI","9.5","6.5","91.7","0.7","0.3","2.5","4.7","0.0","0.3","5.8"
"Desmond Ridder","CIN","0.0","0.0","97.0","0.5","0.5","0.0","4.0","0.0","0.0","5.8"
"Jake Haener","NO","11.0","6.5","68.5","0.5","0.5","2.5","11.5","0.0","0.0","5.4"
"Josh Johnson","WAS","10.5","7.5","64.5","0.5","0.0","2.5","4.0","0.0","0.0","5.0"
"Quinn Ewers","MIA","9.0","6.0","63.0","0.5","0.0","1.0","4.5","0.0","0.0","5.0"
"Cam Miller","LV","9.0","6.0","62.0","0.5","0.0","1.0","3.5","0.0","0.0","4.8"
"Graham Mertz","HOU","8.5","5.5","60.0","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Kyle McCord","PHI","6.5","4.5","51.5","0.5","0.0","1.5","7.0","0.0","0.0","4.8"
"Will Howard","PIT","8.0","5.0","57.0","0.5","0.0","1.0","4.0","0.0","0.0","4.7"
"Riley Leonard","IND","7.5","4.0","51.5","0.5","0.5","1.0","5.0","0.0","0.0","4.1"
"Kyle Allen","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim Boyle","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Wolford","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sam Ehlinger","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bailey Zappe","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skylar Thompson","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Oladokun","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Buechele","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Clifford","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dorian Thompson-Robinson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tommy DeVito","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Leary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Pratt","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kurtis Rourke","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
