"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kyren Williams","LAR","RB16","235.5","1095.7","9.7","33.5","237.0","2.2","1.5","218.6"
"Travis Etienne Jr.","NO","RB17","253.2","1069.6","5.4","45.4","357.7","3.0","1.0","214.0"
"Chris Olave","NO","WR9","0.3","0.0","0.0","95.8","1193.7","7.9","0.3","213.9"
"Cam Skattebo","NYG","RB18","237.4","988.9","7.9","43.9","342.9","2.2","1.6","212.6"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","87.6","1232.6","7.7","0.3","212.6"
"George Pickens","DAL","WR11","0.3","-0.3","0.0","82.2","1199.1","8.4","0.4","210.4"
"Nico Collins","HOU","WR12","1.4","8.3","0.4","82.6","1209.7","7.6","0.8","209.1"
"D'Andre Swift","CHI","RB19","232.5","1050.1","8.0","35.2","303.8","1.0","1.0","205.5"
"Trey McBride","ARI","TE1","0.0","0.0","0.0","108.9","1068.6","6.8","0.2","201.5"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","81.2","1156.6","6.5","1.5","201.0"
"Malik Nabers","NYG","WR14","2.8","8.3","0.1","82.2","1081.5","8.4","0.4","200.2"
"Quinshon Judkins","CLE","RB20","289.8","1105.7","8.1","33.0","223.5","0.6","0.9","199.8"
"Bucky Irving","TB","RB21","252.7","1004.7","5.8","39.6","333.0","2.2","1.0","199.7"
"Brock Bowers","LV","TE2","0.0","0.0","0.0","96.6","1022.8","7.5","0.2","195.4"
"Bhayshul Tuten","JAC","RB22","239.4","980.2","8.6","29.2","222.2","2.1","2.2","194.8"
"Garrett Wilson","NYJ","WR15","1.1","4.3","0.0","96.4","1094.8","6.4","1.0","194.7"
"Tetairoa McMillan","CAR","WR16","0.0","0.0","0.0","81.1","1145.1","6.6","0.9","193.1"
"DeVonta Smith","PHI","WR17","0.0","0.0","0.0","87.8","1136.4","6.0","0.3","193.0"
"Emeka Egbuka","TB","WR18","1.4","7.3","0.0","73.2","1096.9","7.5","0.3","191.6"
"Davante Adams","LAR","WR19","0.0","0.0","0.0","68.9","925.2","10.2","0.2","187.8"
"Tee Higgins","CIN","WR20","0.0","0.0","0.0","70.7","965.9","9.1","0.2","186.3"
"Jameson Williams","DET","WR21","7.3","42.0","0.5","64.4","1065.8","6.6","0.2","185.1"
"David Montgomery","HOU","RB23","235.7","978.2","7.8","30.9","228.7","0.5","1.5","182.9"
"Ladd McConkey","LAC","WR22","0.0","0.0","0.0","79.2","1009.1","6.4","0.3","178.6"
"Terry McLaurin","WAS","WR23","0.3","0.3","0.0","68.7","971.4","7.4","0.3","175.0"
"Jaylen Warren","PIT","RB24","189.4","833.1","4.9","42.4","321.7","1.8","1.0","174.8"
"Jadarian Price","SEA","RB25","215.5","912.2","7.6","26.0","220.1","1.1","2.0","174.5"
"Rome Odunze","CHI","WR24","0.3","1.3","0.0","62.6","964.9","7.8","0.3","174.1"
"TreVeyon Henderson","NE","RB26","185.8","852.2","6.9","35.2","244.3","1.2","0.8","173.9"
"DJ Moore","BUF","WR25","10.3","54.0","0.5","69.1","904.6","7.0","0.8","173.6"
"Jaylen Waddle","DEN","WR26","1.7","12.4","0.0","74.5","992.0","6.0","0.3","173.2"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","79.3","928.3","6.7","0.2","172.1"
"Luther Burden III","CHI","WR27","7.7","37.9","0.1","72.6","974.5","5.7","0.3","171.8"
"Tony Pollard","TEN","RB27","235.8","1032.6","5.5","31.9","208.1","0.5","2.1","171.6"
"Rhamondre Stevenson","NE","RB28","168.6","723.0","6.6","39.5","334.8","1.7","2.1","171.1"
"Christian Watson","GB","WR28","1.7","8.7","0.0","57.6","919.8","7.7","0.3","167.6"
"J.K. Dobbins","DEN","RB29","219.6","1027.4","6.9","19.5","104.4","0.6","0.7","166.3"
"Rico Dowdle","PIT","RB30","201.4","875.6","5.9","31.7","221.9","1.0","1.0","165.0"
"Courtland Sutton","DEN","WR29","0.0","0.0","0.0","67.4","884.4","7.2","0.2","164.8"
"Alec Pierce","IND","WR30","0.0","0.0","0.0","56.4","976.8","6.4","0.3","164.0"
"Marvin Harrison Jr.","ARI","WR31","0.0","0.0","0.0","66.2","946.3","6.0","0.3","163.2"
"DK Metcalf","PIT","WR32","0.7","3.3","0.3","64.3","926.4","6.1","0.2","163.0"
"Mike Evans","SF","WR33","0.0","0.0","0.0","64.7","912.4","6.6","0.2","162.7"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","78.9","877.7","5.5","0.3","159.7"
"Harold Fannin Jr.","CLE","TE5","0.0","0.0","0.0","82.6","834.3","5.7","0.8","157.5"
"Chuba Hubbard","CAR","RB31","180.3","736.9","5.0","36.0","255.9","1.8","0.9","156.2"
"George Kittle","SF","TE6","0.0","0.0","0.0","71.0","804.9","6.3","0.2","153.4"
"Jonathon Brooks","CAR","RB32","191.9","792.6","5.2","30.9","235.6","1.1","1.5","153.2"
"Parker Washington","JAC","WR34","5.0","13.7","0.1","62.6","862.5","5.7","0.4","153.0"
"Brian Thomas Jr.","JAC","WR35","2.7","17.7","0.4","58.0","870.9","5.4","0.2","152.1"
"Michael Pittman Jr.","PIT","WR36","0.0","0.0","0.0","80.5","805.6","5.0","0.3","150.0"
"Kyle Pitts Sr.","ATL","TE7","0.0","0.0","0.0","77.2","845.2","4.4","0.1","149.2"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","70.5","813.7","5.5","0.2","149.0"
"Dallas Goedert","PHI","TE9","0.0","0.0","0.0","65.5","690.1","7.6","0.2","146.7"
"Kenny Gainwell","TB","RB33","116.6","512.1","4.2","49.7","351.6","2.0","0.9","146.7"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","65.2","887.1","4.5","1.4","145.8"
"Jayden Reed","GB","WR38","12.7","95.0","0.2","62.8","749.9","4.8","0.4","144.8"
"Josh Jacobs","GB","RB34","175.6","712.9","6.8","21.8","174.1","1.1","1.1","144.7"
"Jakobi Meyers","JAC","WR39","4.3","22.7","0.1","68.3","787.3","5.1","0.8","144.6"
"Kyle Monangai","CHI","RB35","190.4","814.4","5.1","23.0","195.2","0.4","0.7","144.4"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","74.9","784.8","4.8","0.3","144.4"
"Michael Wilson","ARI","WR40","0.0","0.7","0.0","67.5","839.7","4.5","0.2","144.1"
"Tucker Kraft","GB","TE11","0.0","0.0","0.0","59.9","761.7","6.4","0.2","144.1"
"Rachaad White","WAS","RB36","137.0","605.2","5.4","35.8","247.8","1.6","0.8","143.3"
"Quentin Johnston","LAC","WR41","1.7","5.9","0.0","53.6","756.2","6.9","0.7","143.0"
"MarShawn Lloyd","GB","RB37","180.7","769.5","6.2","19.9","154.7","1.0","1.8","141.8"
"Chris Godwin Jr.","TB","WR42","0.3","0.3","0.0","67.8","773.4","5.2","0.3","141.8"
"Jordan Addison","MIN","WR43","2.7","37.2","0.4","55.3","758.3","5.4","0.2","141.5"
"Aaron Jones Sr.","MIN","RB38","150.0","639.1","3.1","40.8","301.3","1.7","1.0","141.1"
"Jacory Croskey-Merritt","WAS","RB39","185.1","831.0","7.5","12.3","91.3","0.2","1.8","141.1"
"Xavier Worthy","KC","WR44","15.8","101.4","0.9","55.2","721.8","4.2","0.2","140.0"
"RJ Harvey","DEN","RB40","107.6","406.2","4.0","45.9","341.5","3.2","0.7","139.1"
"Wan'Dale Robinson","TEN","WR45","2.0","9.5","0.1","79.9","805.1","3.0","0.3","139.0"
"Jordan Mason","MIN","RB41","192.8","879.2","6.2","14.5","75.8","0.1","1.1","138.3"
"De'Zhaun Stribling","SF","WR46","1.5","6.5","0.0","55.9","826.1","4.9","1.3","137.9"
"Mark Andrews","BAL","TE12","0.0","0.0","0.0","59.6","618.2","7.7","0.3","137.3"
"Matthew Golden","GB","WR47","6.2","31.0","0.1","57.6","776.5","4.6","0.4","136.6"
"Romeo Doubs","NE","WR48","0.0","0.0","0.0","57.1","745.1","5.5","0.3","135.3"
"Deebo Samuel Sr.","SF","WR49","29.1","112.1","1.1","56.6","635.8","4.3","0.4","134.8"
"Blake Corum","LAR","RB42","172.0","822.5","6.4","11.9","80.6","0.2","0.7","134.7"
"Isaiah Likely","NYG","TE13","0.0","0.0","0.0","63.7","744.4","5.0","1.3","133.9"
"KC Concepcion","CLE","WR50","4.2","22.5","0.1","63.8","792.6","3.6","1.3","132.8"
"Stefon Diggs","WAS","WR51","0.3","0.7","0.0","67.0","746.5","4.1","0.2","132.6"
"Rashid Shaheed","SEA","WR52","13.4","88.9","0.3","49.9","754.7","3.8","0.8","131.7"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","56.8","706.3","5.5","0.2","131.4"
"Jake Ferguson","DAL","TE15","0.0","0.0","0.0","74.0","605.5","5.9","1.4","130.4"
"Khalil Shakir","BUF","WR53","1.1","5.5","0.0","69.7","725.8","3.9","0.8","130.1"
"Josh Downs","IND","WR54","1.4","4.2","0.0","69.0","704.5","4.2","0.8","129.4"
"Jalen Coker","CAR","WR55","0.0","0.0","0.0","60.1","716.8","4.5","0.8","127.1"
"Jerry Jeudy","CLE","WR56","0.5","2.0","0.0","59.0","775.4","3.4","0.7","125.9"
"Hunter Henry","NE","TE16","0.0","0.0","0.0","55.5","651.1","5.4","0.1","125.2"
"Calvin Ridley","TEN","WR57","4.5","27.5","0.6","46.7","761.8","3.2","0.2","124.7"
"Makai Lemon","PHI","WR58","1.5","6.5","0.0","52.7","739.5","4.4","1.3","124.5"
"Denzel Boston","CLE","WR59","1.0","5.0","0.0","59.2","737.6","3.5","1.3","122.1"
"Juwan Johnson","NO","TE17","0.0","0.0","0.0","64.4","729.0","3.3","1.3","122.1"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","661.3","4.3","0.2","121.8"
"Tre Tucker","LV","WR60","11.2","54.6","0.2","50.2","631.6","3.8","0.1","117.0"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.9","629.0","3.4","0.2","115.7"
"Tyjae Spears","TEN","RB43","94.8","379.0","3.0","45.8","306.0","1.2","0.7","115.1"
"Rashod Bateman","BAL","WR61","0.0","0.0","0.0","38.8","598.2","6.0","0.2","114.8"
"Kayshon Boutte","HOU","WR62","0.0","0.0","0.0","45.1","628.2","4.8","0.2","113.7"
"Woody Marks","HOU","RB44","145.5","567.3","2.7","24.1","197.2","1.8","0.8","113.7"
"Keenan Allen","IND","WR63","0.0","0.0","0.0","58.4","606.8","3.9","0.3","112.4"
"Ja'Kobi Lane","BAL","WR64","1.5","8.5","0.0","39.2","591.6","5.4","0.7","110.6"
"Jalen McMillan","TB","WR65","4.7","26.8","0.1","46.6","606.1","3.9","0.2","110.4"
"Jauan Jennings","MIN","WR66","0.0","0.0","0.0","48.9","557.7","5.2","0.7","109.9"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","64.1","574.9","3.3","0.2","108.9"
