"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Courtland Sutton","DEN","WR31","0.0","0.0","0.0","67.4","882.9","7.2","0.2","164.7"
"Rico Dowdle","PIT","RB29","199.9","868.7","5.8","31.7","222.2","1.0","1.0","164.2"
"Marvin Harrison Jr.","ARI","WR32","0.0","0.0","0.0","67.3","945.5","6.0","0.3","163.7"
"Rhamondre Stevenson","NE","RB30","167.2","716.9","6.2","36.4","306.8","1.6","2.1","163.3"
"DK Metcalf","PIT","WR33","0.7","3.3","0.3","64.2","926.5","6.1","0.2","163.0"
"Chuba Hubbard","CAR","RB31","197.3","800.9","5.1","36.8","258.7","1.8","1.4","162.7"
"J.K. Dobbins","DEN","RB32","218.2","1020.8","6.6","17.7","94.6","0.6","0.7","161.8"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","83.0","873.2","5.4","0.3","160.8"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.5","881.3","4.7","0.1","156.0"
"RJ Harvey","DEN","RB33","130.5","495.4","4.6","46.6","346.3","3.5","0.8","154.8"
"Parker Washington","JAC","WR34","5.0","13.6","0.1","62.6","862.6","5.7","0.4","153.0"
"Brian Thomas Jr.","JAC","WR35","2.7","17.7","0.4","58.0","872.3","5.3","0.2","152.1"
"Harold Fannin Jr.","CLE","TE6","0.0","0.0","0.0","78.3","815.4","5.4","0.8","151.5"
"Michael Pittman Jr.","PIT","WR36","0.0","0.0","0.0","80.5","805.7","5.0","0.3","150.0"
"Sam LaPorta","DET","TE7","0.0","0.0","0.0","70.4","813.3","5.5","0.2","148.9"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","66.3","902.3","4.5","1.4","148.2"
"Rachaad White","WAS","RB34","139.9","618.6","5.4","38.0","261.7","1.7","0.8","147.5"
"Dallas Goedert","PHI","TE8","0.0","0.0","0.0","65.5","689.2","7.6","0.2","146.7"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","60.2","771.4","6.4","0.2","145.3"
"Kyle Monangai","CHI","RB35","191.3","819.9","5.2","22.9","195.4","0.4","0.7","145.1"
"Jayden Reed","GB","WR38","12.0","87.0","0.1","63.1","758.2","4.8","0.4","144.9"
"Aaron Jones Sr.","MIN","RB36","156.7","667.5","3.2","40.7","300.7","1.7","1.1","144.6"
"Jakobi Meyers","JAC","WR39","4.3","22.6","0.1","68.3","788.1","5.1","0.8","144.5"
