"RK","PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"368","Xavier Hutchinson",HOU,"17.7","0","0","12","117","0","0","0","0"
"369","Graham Gano",NYG,"50","0","0","0","0","0","0","0","0"
"370","K.J. Osborn",WAS,"15.2","0","0","7","57","1","0","0","0"
"371","Lucas Krull",DEN,"24.7","0","0","19","152","0","0","0","0"
"372","Tommy Tremble",CAR,"44.9","0","0","23","234","2","0","0","0"
"373","Greg Dulcich",NYG,"5.3","0","0","5","28","0","0","0","0"
"374","Jeff Wilson Jr.",SF,"9.1","0","0","3","19","0","16","57","0"
"375","Jacob Cowing",SF,"8.7","0","0","4","80","0","1","7","0"
"376","Devontez Walker",BAL,"8.6","0","0","1","21","1","0","0","0"
"377","Cade Stover",HOU,"26.8","0","0","15","133","1","0","0","0"
"378","Kalif Raymond",DET,"48","0","0","17","215","2","2","0","0"
"379","Carson Steele",KC,"20.4","0","0","7","26","0","56","183","0"
"380","Daniel Bellinger",NYG,"19.5","0","0","14","125","0","0","0","0"
"381","Brock Wright",DET,"28.5","0","0","13","100","2","0","0","0"
"382","Brenden Rice",LAC,"0","0","0","0","0","0","0","0","0"
"383","Allen Lazard",NYJ,"107.5","0","0","37","530","6","0","0","0"
"384","Robert Woods",PIT,"28.3","0","0","20","203","0","0","0","0"
"385","Charlie Kolar",BAL,"23.8","0","0","9","131","1","1","2","0"
"386","Tyler Scott",CHI,"1","0","0","1","5","0","0","0","0"
"387","Jake Haener",NO,"14.2","226","1","0","0","0","11","22","0"
"388","Darnell Washington",PIT,"35.5","0","0","19","200","1","0","0","0"
"389","Dorian Thompson-Robinson",PHI,"21.8","440","0","0","0","0","21","122","0"
"390","Desmond Ridder",CIN,"23.9","458","2","0","0","0","9","36","0"
"391","Payne Durham",TB,"29","0","0","11","115","2","0","0","0"
"392","Kendall Milton",CIN,"0","0","0","0","0","0","0","0","0"
"393","Deneric Prince",NE,"0","0","0","0","0","0","0","0","0"
"394","Raheem Blackshear",CAR,"8","0","0","0","0","0","15","80","0"
"395","AJ Barner",SEA,"63.5","0","0","30","245","4","0","0","0"
"396","Ronnie Rivers",LAR,"15.8","0","0","5","34","0","22","99","0"
"397","Cedrick Wilson Jr.",NO,"39.9","0","0","20","211","1","0","0","0"
"398","Rasheen Ali",BAL,"3.1","0","0","0","0","0","10","31","0"
"399","Jerick McKinnon",FA,"0","0","0","0","0","0","0","0","0"
"400","Jacoby Brissett",ARI,"46.2","826","2","0","0","0","15","62","0"
"401","Malik Heath",GB,"26.7","0","0","10","97","2","0","0","0"
"402","Nelson Agholor",FA,"42.1","0","0","14","231","2","0","0","0"
"403","Brayden Narveson",FA,"59","0","0","0","0","0","0","0","0"
"404","Kenny Pickett",CLE,"26.1","291","2","0","0","0","9","15","1"
"405","Mike Boone",MIA,"5.4","0","0","1","-2","0","13","51","0"
"406","Josh Whyle",TEN,"46.8","0","0","28","248","1","0","0","0"
"407","Jeremy Ruckert",NYJ,"19.5","0","0","18","105","0","0","0","0"
"408","Carson Wentz",FA,"4.7","118","0","0","0","0","3","0","0"
"409","Kylen Granson",PHI,"25.2","0","0","14","182","0","0","0","0"
"410","Lil'Jordan Humphrey",NYG,"48.8","0","0","31","293","1","0","0","0"
"411","Dalvin Cook",FA,"3.5","0","0","1","10","0","8","20","0"
"412","Luke Farrell",SF,"12.7","0","0","12","67","0","0","0","0"
"413","Drew Sample",CIN,"26.5","0","0","20","109","1","1","-4","0"
"414","Sam Howell",MIN,"0.2","24","0","0","0","0","1","2","0"
"415","Blake Watson",DEN,"2.8","0","0","1","13","0","4","10","0"
"416","Cody Schrader",LAR,"1.4","0","0","1","6","0","1","3","0"
