"RK","PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"83","Jared Goff",DET,"336","4629","37","0","0","0","35","56","0"
"84","Michael Pittman Jr.",IND,"131.3","0","0","69","808","3","0","0","0"
"85","Javonte Williams",DAL,"131.9","0","0","52","346","0","139","513","4"
"86","Darnell Mooney",ATL,"161.2","0","0","64","992","5","0","0","0"
"87","Anthony Richardson Sr.",IND,"174.9","1814","8","0","0","0","86","499","6"
"88","Tua Tagovailoa",MIA,"188.6","2867","19","0","0","0","17","49","0"
"89","Tyjae Spears",TEN,"98.6","0","0","30","224","1","84","312","4"
"90","Jaylen Waddle",MIA,"120.6","0","0","58","744","2","4","12","0"
"91","Adam Thielen",CAR,"115.5","0","0","48","615","5","0","0","0"
"92","Jauan Jennings",SF,"172","0","0","77","975","6","0","0","0"
"93","David Njoku",CLE,"116.5","0","0","64","505","5","0","0","0"
"94","Amari Cooper",FA,"100.7","0","0","44","547","4","0","0","0"
"95","Rome Odunze",CHI,"117.9","0","0","54","734","3","3","15","0"
"96","Christian Watson",GB,"90.8","0","0","29","620","2","4","23","0"
"97","Sam Darnold",SEA,"320","4319","35","0","0","0","67","212","1"
"98","Josh Downs",IND,"147.5","0","0","72","803","5","1","12","0"
"99","Patrick Mahomes II",KC,"293.5","3928","26","0","0","0","58","307","2"
"100","Kendre Miller",NO,"26.6","0","0","5","33","0","39","148","1"
"101","Matthew Stafford",LAR,"222.6","3762","20","0","0","0","30","41","0"
"102","Pat Freiermuth",PIT,"135.8","0","0","65","653","7","0","0","0"
"103","Justin Herbert",LAC,"288.4","3870","23","0","0","0","69","306","2"
"104","Jonnu Smith",PIT,"178.3","0","0","88","884","8","2","-1","0"
"105","Xavier Worthy",KC,"157.7","0","0","59","638","6","20","104","3"
"106","Tank Bigsby",JAC,"125.5","0","0","7","54","0","168","766","7"
"107","Tyrone Tracy Jr.",NYG,"163.3","0","0","38","284","1","192","839","5"
"108","Hunter Henry",NE,"112.4","0","0","66","674","2","0","0","0"
"109","Romeo Doubs",GB,"109.1","0","0","46","601","4","0","0","0"
"110","C.J. Stroud",HOU,"232.4","3727","20","0","0","0","52","233","0"
"111","Tucker Kraft",GB,"138.3","0","0","50","707","7","3","6","0"
"112","Dalton Kincaid",BUF,"78.8","0","0","44","448","2","0","0","0"
"113","Tyler Allgeier",ATL,"99.7","0","0","13","88","0","137","644","3"
"114","Bo Nix",DEN,"328.7","3775","29","0","0","0","92","430","4"
"115","Rashod Bateman",BAL,"152.1","0","0","45","756","9","0","0","0"
"116","Gus Edwards",FA,"62.6","0","0","3","6","0","101","365","4"
"117","Dalton Schultz",HOU,"91.7","0","0","53","532","2","0","0","0"
"118","Jake Ferguson",DAL,"74.9","0","0","59","494","0","0","0","0"
"119","Cade Otton",TB,"111.1","0","0","59","600","4","1","-4","0"
"120","Aaron Rodgers",PIT,"267.6","3897","28","0","0","0","22","107","0"
"121","Alexander Mattison",MIA,"119.4","0","0","36","294","1","132","420","4"
"122","Keon Coleman",BUF,"97","0","0","29","556","4","1","9","0"
"123","Raheem Mostert",LV,"61.4","0","0","19","161","0","85","278","2"
"124","Blake Corum",LAR,"30","0","0","7","58","0","58","207","0"
"125","Elijah Moore",BUF,"90.4","0","0","61","538","1","1","1","0"
"126","Alvin Kamara",NO,"231.3","0","0","68","543","2","228","950","6"
"127","Caleb Williams",CHI,"260.5","3541","20","0","0","0","81","489","0"
"128","Audric Estime",DEN,"46.2","0","0","5","27","0","76","310","2"
"129","Kimani Vidal",LAC,"30.2","0","0","5","62","1","43","155","0"
"130","Ray Davis",BUF,"107.6","0","0","17","189","3","113","442","3"
"131","Kyle Pitts Sr.",ATL,"107.7","0","0","47","602","4","0","0","0"
"132","Jalen McMillan",TB,"116.9","0","0","37","461","8","4","43","0"
